objectid,youtubeid,title,creator,datecreated,subject,location,filename,source,type,format,language,rights,citation,creativecommons,image_alt_text,description,,,,
histoftrktwn_1947_demd_015,,Bill Hayward,Fred Taylor,11/22/1947,Bill Hayward;Hayward Day;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1947_demd_015.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Civil War Reopens At 2,"" <cite>Oregon Daily Emerald</cite>, 22 Nov 1947, Oregon Daily Emerald Archives.
<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/"" target=""_blank"">https://oregonnews.uoregon.edu/lccn/2004260239/1947-11-22/ed-1/seq-1/</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",A newspaper with a side story on the topic of Hayward Day and all of the fesitivies that will come with it.,A newspaper article that talks about the upcoming Civil War game in Oregon as well as the festivities that come with Hayward Day and that Bill Hayward might not be there to see them happen.,,,,
histoftrktwn_1981_bhay_016,,Bill Hayward,Jim Vitti,05/20/1981,Bill Hayward;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_1981_bhay_016.pdf,"<a href=""https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward"" target=""_blank"">The Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""The Man in the White Hat,"" The Daily Emerald, May 20, 1981, <a href='https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward' target='_blank'>https://oregonnews.uoregon.edu/lccn/2004260239/1981-05-20/ed-1/seq-12/#words=Bill+Hayward</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article describing 'the man in the white hat' also known as Track Coach Bill Hayward.,"A newspaper article sharing the lasting impact Bill Hayward had at Oregon and in the track world, and how great of a man and coach he was.",,,,
histoftrktwn_2019_demd_017,,Bill Bowerman,Emerald Media,1/11/2019,Bill Bowerman;Oregon Track and Field;Oregon Daily Emerald,"Eugene, OR",histoftrktwn_2019_demd_017.pdf,"<a href=""https://oregondigital.org/concern/documents/fx71cx04r"" target=""_blank"">The Oregon Daily Emerald Archives - University of Oregon. Special Collections and University Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Bowerman's Living Legacies,"" <cite>Oregon Daily Emerald</cite>, 11 Jan 2019, University of Oregon. Libraries. Special Collections and University Archives, University of Oregon. Oregon Daily Emerald Archives.
<a href=""https://oregondigital.org/concern/documents/fx71cx04r"" target=""_blank"">https://oregondigital.org/concern/documents/fx71cx04r</a>","<a href=""https://creativecommons.org/licenses/by/4.0/"" target=""_blank"">Attribution 4.0 International</a>",Newspaper article on the legacy that the late track coach Bill Bowerman left here in Oregon and in TrackTown.,An entire newspaper dedicated to the legacy Bill Bowerman left in Oregon and Track Town.,,,,
histoftrktwn_1970_hywf_002,,Hayward Field Rehabilitation,Lutes & Amundson,1970,Hayward Field;Renovations,"Eugene, OR",histoftrktwn_1970_hywf_002.jpg,"<a href=""https://oregondigital.org/concern/images/df669410c"" target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives.- UO Athletics</a>",Image; Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Hayward Field Rehabilitation,"" <cite>Lutes & Amundson</cite>, 1970, University of Oregon. Libraries. Special Collections and University Archives, UO Athletics.
<a href=""https://oregondigital.org/concern/images/df669410c"" target=""_blank"">https://oregondigital.org/concern/images/df669410c</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",A detailed sketch that shows where the construction of Hayward Field will take place off of Agate street from a birdseye view.,The final layout of the construction of the original Hayward Field in relation to the rest of campus.,,,,
histoftrktwn_1989_hywf_001,,1989 Hayward Field,,1989,Hayward Field,"Eugene, OR",histoftrktwn_1989_hywf_001.jpg,"<a href=""https://oregondigital.org/catalog?f%5Brepository_label_sim%5D%5B%5D=University+of+Oregon.+Libraries.+Special+Collections+and+University+Archives&locale=en""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“Hayward Field, 1989,”.1989,University of Oregon. Libraries. Special Collections and University Archives.Oregon Digital,UO Athletics, <a href='https://oregondigital.org/concern/images/df668x940' target='_blank'>https://oregondigital.org/concern/images/df668x940</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Landscape image of Hawyard field pre-renovations. Packed grandstands with runners on the track and field. Spencers butte visible in the background.,Still image of Hayward field in 1989 during a track meet. View of of the West grandstand.,,,,
histoftrktwn_2008_demd_006,,Daily Emerald - The Hayward Effect,Ashley Chase,6/29/2008,Hayward Field,"Eugene, OR",histoftrktwn_2008_demd_006.pdf,"<a href=""https://oregondigital.org/collections/daily-emerald?locale=en""target=""_blank"">Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“Oregon Daily Emerald, June 29, 2008,”Ashley Chase.2008,,.Oregon Digital,Oregon Daily Emerald Archives,<a href='https://oregondigital.org/concern/documents/9g54xj36p' target='_blank'>https://oregondigital.org/concern/documents/9g54xj36p</a>",,"Student news paper entitled ""The Hayward Effect"" talking about the atmosphere around track and field in Eugene.",University of Oregon student newspaper from 2008 discussing the culture and atmosphere at Hayward field.,,,,
histoftrktwn_1920_hywf_007,,1920 Hayward Field,,1920,Hayward Field,"Eugene, OR",histoftrktwn_1920_hywf_007.jpg,"<a href=""https://oregondigital.org/catalog?f%5Brepository_label_sim%5D%5B%5D=University+of+Oregon.+Libraries.+Special+Collections+and+University+Archives&locale=en""target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“Hayward Field, ca. 1925,”.1920,University of Oregon. Libraries. Special Collections and University Archives.Oregon Digital,UO Athletics<a href='https://oregondigital.org/concern/images/df669167w' target='_blank'>https://oregondigital.org/concern/images/df669167w</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Black and white film photo of Hawyard field circa 1925.,Black and white film photo of Hayward field circa 1925.,,,,
histoftrktwn_2008_demd_018,,Daily Emerald - Track Town,Laura Powers,2008,Eugene;Hayward Field,"Eugene, OR",histoftrktwn_2008_demd_018.pdf,"<a href=""https://oregondigital.org/collections/daily-emerald?locale=en"" target=""_blank"">Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“Oregon Daily Emerald, February 4, 2008,”Laura Powers.2008,,.Oregon Digital,Oregon Daily Emerald Archives,<a href='https://oregondigital.org/concern/documents/fb4948977' target='_blank'>https://oregondigital.org/concern/documents/fb4948977</a>",,"Student news paper entitled ""The Olympic Trails: History"" talking about the history of the olympic trials at Hayward Field.",University of Oregon student newspaper. Discussng track town and olympic trials.,,,,
histoftrktwn_2008_demd_019,,Daily Emerald - Runners Paradise,"Oregon Daily Emerald Publishing Co., Inc.",2008,Eugene;Trails,"Eugene, OR",histoftrktwn_2008_demd_019.pdf,"<a href=""https://oregondigital.org/collections/daily-emerald?locale=en"" target=""_blank"">Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“Oregon Daily Emerald, June 28, 2008,”Ashley Chase.2008,,.Oregon Digital,Oregon Daily Emerald Archives,<a href='https://oregondigital.org/concern/documents/kp78gg933' target='_blank'>https://oregondigital.org/concern/documents/kp78gg933</a>",,"Student news article entitled ""Rediscovering Eugene's running Paridise"" talking about the culture of running in Eugene.",University of Oregon student newspaper. Discussing the culture and access to running in Eugene.,,,,
histoftrktwn_1975_spre_post_020,,Preforntaine Classic Poster,,1975,Steve Prefontaine,"Eugene, OR",histoftrktwn_1975_spre_post_020.jpg,"<a href=""https://oregondigital.org/catalog?f%5Brepository_label_sim%5D%5B%5D=University+of+Oregon.+Libraries.+Special+Collections+and+University+Archives&locale=en"" target=""_blank"">University of Oregon. Libraries. Special Collections and University Archives</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","“First annual Steve Prefontaine Classic, 1975,”.1975,,University of Oregon. Libraries. Special Collections and University Archives.Oregon Digital,UO Athletics,<a href='https://oregondigital.org/concern/images/df668z882' target='_blank'>https://oregondigital.org/concern/images/df668z882</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",Black and white five panel graphic filled with pictures of Steve Prefontaine running.,Poster created for the first Preforntain Classic in honor os the late runner.,,,,
histoftrktwn_2021_wmun_022, ,Will Mundy Hurdling,Paul W. HarveyIV1,4/3/2021,WIll Mundy,"Eugene, OR",histoftrktwn_2021_wmun_022.jpg,"<a href=""https://oregondigital.org/""target=""_blank""UO Athletics </a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Will Mundy,""Paul W. HarveyIV1.4/3/2021, <a href='https://oregondigital.org/concern/images/k3569n92b'target='_blank'>https://oregondigital.org/concern/images/k3569n92b</a>", ,"Will Mundy, a track runner, competing in hurdles at a track meet.",Pictures of track runners competing.,,,,|
histoftrktwn_2021_hywf_023, ,Hayward Scoreboard,Paul W. HarveyIV1,4/3/2021,Stadiums,"Eugene, OR",histoftrktwn_2021_hywf_023.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">UO Athletics Scoreboard</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Scoreboard,""Paul W. HarveyIV1.4/3/2021,<a href='https://oregondigital.org/concern/images/k3569n56g'target='_blank'>https://oregondigital.org/concern/images/k3569n56g</a>","<a href=""http://creativecommons.org/licenses/by-nc-nd/4.0/""target=""_blank"">Attribution-NonCommercial-NoDerivs 4.0 International</a>",New scoreboard screen at Hayward Field.,Picture of the new scoreboard screen at Hayward field.,,,,
histoftrktwn_2009_demd_024, ,Daily Emerald - Trademarking Track Town,Ashley Chase,5/28/2009,University of Oregon;Student newspapers and periodicals,"Eugene, OR",histoftrktwn_2009_demd_024.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald Archives</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Oregon Daily Emerald,""Ashley Chase.5/28/2009,<a href='https://oregondigital.org/concern/documents/m613mz14s' target='_blank'>https://oregondigital.org/concern/documents/m613mz14s</a>", ,Daily Emerald Newspaper about how Track Town is gaining attention,A newspaper that shares how Track is becoming big in Eugene.,,,,
histoftrktwn_2022_hywf_025, ,Daily Emerald - Track Town Triumphs,Sarah-Mae McCullough,05/20/2022,Duck Track Season,"Eugene, OR",histoftrktwn_2022_hywf_025.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>"," ""Emerald Media: Duck Season,""Sarah-Mae McCullough.05/20/2022,<a href='https://oregondigital.org/concern/documents/fx71d828k' target='_blank'>https://oregondigital.org/concern/documents/fx71d828k</a>", ,Daily Emerald Newspaper article about how track in Eugene is growing.,A newspaper that shares how Eugene has become Tracktown.,,,,
histoftrktwn_2017_demd_026, ,Daily Emerald - Racing Ahead,Jack Pitcher,11/20/2017,Track Town Triumphs,"Eugene, OR",histoftrktwn_2017_demd_026.pdf,"<a href=""https://oregondigital.org/""target=""_blank"">Oregon Daily Emerald Archive</a>",Text,document/pdf,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""Emerald Media,""Jack Pitcher.11/20/2017,<a href='https://oregondigital.org/concern/documents/fx71ch073' target='_blank'>https://oregondigital.org/concern/documents/fx71ch073</a>", ,Daily Emerald Newspaper about how track in Eugene is gaining Worldwide attention and gains the name of Track Town,A newspaper that shares how Eugene is growing because of track.,,,,
histoftrktwn_2011_trktwnmur_027, ,Track Town Mural,Frank Miller,09/25/2018,Eugene;Murals,"Eugene, OR",histoftrktwn_2011_trktwnmur_027.jpg,"<a href=""https://oregondigital.org/""target=""_blank"">Marketing Communications Photo</a>",Image;Still Image,image/jpg,eng,"<a href=""http://rightsstatements.org/vocab/InC/1.0/"" target=""_blank"">In Copyright</a>","""TrackTown Mural 07,""Frank Miller.09/25/2018,<a href=' https://oregondigital.org/concern/images/df72xg634' target='_blank'> https://oregondigital.org/concern/images/df72xg634</a>", ,A picture of a mural located in Eugene representing how much Eugene is Tracktown.,A mural painting located in Eugene.,,,,
